"","Etomidate","Ketamine","Ketofol","Propofol"
"Etomidate","Etomidate","1.03 (0.55 to   1.93)","0.21 (0.01 to   4.47)","."
"Ketamine","1.03 (0.55 to   1.93)","Ketamine",".","1.16 (0.30 to   4.48)"
"Ketofol","0.21 (0.01 to   4.47)","0.20 (0.01 to   4.62)","Ketofol","."
"Propofol","1.20 (0.27 to   5.30)","1.16 (0.30 to   4.48)","5.68 (0.19 to 169.54)","Propofol"
