"","Etomidate","Ketamine","Propofol"
"Etomidate","Etomidate","0.70 (0.58 to 0.83)","."
"Ketamine","0.70 (0.58 to 0.83)","Ketamine","0.56 (0.29 to 1.10)"
"Propofol","0.39 (0.20 to 0.79)","0.56 (0.29 to 1.10)","Propofol"
