"","Etomidate","Ketamine","Ketofol","Propofol"
"Etomidate","Etomidate","1.03 (0.86 to 1.23)","1.19 (0.58 to 2.44)","."
"Ketamine","1.03 (0.86 to 1.23)","Ketamine",".","1.53 (0.80 to 2.92)"
"Ketofol","1.19 (0.58 to 2.44)","1.16 (0.55 to 2.42)","Ketofol","."
"Propofol","1.57 (0.81 to 3.08)","1.53 (0.80 to 2.92)","1.32 (0.49 to 3.52)","Propofol"
